CODRE;NOME;SIGLAS;FONTE DE RECURSO; VALOR ; TOTALIZADOR ;VALOR F. TOTAL;COD
1719.60.0.0.00.00;TRANSFERÊNCIAS DA POLÍTICA NACIONAL ALDIR BLANC DE FOMENTO À;AUDIR BLANC;02 - 05 - 08 RECURSOS VINCULADOS;R$ 181.900,00; R$ -   ;0;1719.60.0.0
1720.00.0.0.00.00;TRANSFERÊNCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS E;;; R$ -   ;R$ 55.724.925,04;0;1720.00.0.0
1721.50.0.0.00.00;COTA-PARTE DO ICMS;ICMS;01 - RECURSO PRÓPRIO;R$ 48.572.072,20; R$ -   ;0;1721.50.0.0
1721.51.0.0.00.00;COTA-PARTE DO IPVA;IPVA;01 - RECURSO PRÓPRIO;R$ 6.348.225,68; R$ -   ;0;1721.51.0.0
1721.52.0.0.00.00;COTA-PARTE DO IPI – MUNICÍPIOS;IPI;01 - RECURSO PRÓPRIO;R$ 285.868,16; R$ -   ;0;1721.52.0.0
1721.53.0.0.00.00;COTA-PARTE DA CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMÍNIO ECONÔMI;CIDE;02 - 05 - 08 RECURSOS VINCULADOS;R$ 11.592,38; R$ -   ;0;1721.53.0.0
1722.51.0.0.00.00;COTA-PARTE DA COMPENSAÇÃO FINANCEIRA DE RECURSOS MINERAIS –;CFEM;02 - 05 - 08 RECURSOS VINCULADOS;R$ 8.694,28; R$ -   ;0;1722.51.0.0
1724.00.0.0.00.00;TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS E DF E DE SUAS ENTID;CONVENIOS;02 - 05 - 08 RECURSOS VINCULADOS;R$ 498.472,34; R$ -   ;0;1724.00.0.0
1750.00.0.0.00.00;TRANSFERÊNCIAS DE OUTRAS INSTITUIÇÕES PÚBLICAS;;; R$ -   ;R$ 24.395.948,19;0;1750.00.0.0
1751.00.0.0.00.00;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOL;FUNDEB;02 - 05 - 08 RECURSOS VINCULADOS;R$ 24.395.948,19; R$ -   ;0;1751.00.0.0
1900.00.0.0.00.00;OUTRAS RECEITAS CORRENTES;;; R$ -   ;R$ 590.283,99;0;1900.00.0.0
1910.00.0.0.00.00;MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS;;; R$ -   ;R$ 52.165,71;0;1910.00.0.0
1911.01.0.0.00.00;MULTAS PREVISTAS EM LEGISLAÇÃO ESPECÍFICA;MULTAS;01 - RECURSO PRÓPRIO;R$ 52.165,71; R$ -   ;0;1911.01.0.0
1920.00.0.0.00.00;INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS;;; R$ -   ;R$ 528.612,53;0;1920.00.0.0
1922.00.0.0.00.00;RESTITUIÇÕES;RESTITUIÇÕES;01 - RECURSO PRÓPRIO;R$ 528.612,53; R$ -   ;0;1922.00.0.0
1990.00.0.0.00.00;DEMAIS RECEITAS CORRENTES;;; R$ -   ;R$ 9.505,75;0;1990.00.0.0
1999.99.2.0.00.00;OUTRAS RECEITAS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB –;OUTRAS RECEITAS;01 - RECURSO PRÓPRIO;R$ 9.505,75; R$ -   ;0;1999.99.2.0
2000.00.0.0.00.00;RECEITAS DE CAPITAL;;; R$ -   ; R$ -   ;R$ 3.433.723,65;2000.00.0.0
2200.00.0.0.00.00;ALIENAÇÃO DE BENS;;; R$ -   ;R$ 40.573,33;0;2200.00.0.0
2210.00.0.0.00.00;ALIENAÇÃO DE BENS MÓVEIS;;; R$ -   ;R$ 40.573,33;0;2210.00.0.0
2213.00.0.0.00.00;ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES;ALIENAÇÃO;01 - RECURSO PRÓPRIO;R$ 40.573,33; R$ -   ;0;2213.00.0.0
2400.00.0.0.00.00;TRANSFERÊNCIAS DE CAPITAL;;; R$ -   ;R$ 3.346.780,80;0;2400.00.0.0
2410.00.0.0.00.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;; R$ -   ;R$ 792.000,00;0;2410.00.0.0
2411.99.0.0.00.00;OUTRAS TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE;SUS EMENDAS;02 - 05 - 08 RECURSOS VINCULADOS;R$ 396.000,00; R$ -   ;0;2411.99.0.0
2412.50.9.0.00.00;OUTRAS TRANSFERÊNCIAS DESTINADAS A PROGRAMAS DE EDUCAÇÃO;EDUCAÇÃO EMENDAS;02 - 05 - 08 RECURSOS VINCULADOS;R$ 396.000,00; R$ -   ;0;2412.50.9.0
2420.00.0.0.00.00;TRANSFERÊNCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS E;;; R$ -   ;R$ 2.554.780,80;0;2420.00.0.0
2422.00.0.0.00.00;TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS E DF E DE SUAS ENTID;OUTRAS EMENDAS;02 - 05 - 08 RECURSOS VINCULADOS;R$ 700.000,00; R$ -   ;0;2422.00.0.0
2429.99.0.0.00.00;OUTRAS TRANSFERÊNCIAS DE RECURSOS DOS ESTADOS;OUTRAS EMENDAS;02 - 05 - 08 RECURSOS VINCULADOS;R$ 1.854.780,80; R$ -   ;0;2429.99.0.0
2900.00.0.0.00.00;OUTRAS RECEITAS DE CAPITAL;;; R$ -   ;R$ 46.369,52;0;2900.00.0.0
2990.00.0.0.00.00;DEMAIS RECEITAS DE CAPITAL;;; R$ -   ;R$ 46.369,52;0;2990.00.0.0
2999.99.0.0.00.00;OUTRAS RECEITAS DE CAPITAL;OUTRAS RECEITAS;01 - RECURSO PRÓPRIO;R$ 46.369,52; R$ -   ;0;2999.99.0.0
9000.00.0.0.00.00;(R) DEDUCOES DA RECEITA;;; R$ -   ; R$ -   ;-18841095,21;9000.00.0.0
9500.00.0.0.00.00;(R) DEDUÇÕES DO FUNDEB;;;;;0;9500.00.0.0
;;;;;;;
;;;; R$ 132.338.797,82 ;;;
